new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
163,BBG000LHBC72,ADDEX THERAPEUTICS LTD,ADXN,SW,BBG000LHBC72,Common Stock,Equity,BBG001SK0HM0,Common Stock,ADXN,,
164,BBG00PDLJZQ7,ADDIKO BANK AG,ADKO,AV,BBG007621L23,Common Stock,Equity,BBG007621L32,Common Stock,ADKO,,
165,BBG000BZBBR3,ADDSINO CO LTD -A,000547,CH,BBG000BZBBR3,Common Stock,Equity,BBG001SJWBV1,Common Stock,000547,,
166,BBG000NJGX84,ADDUS HOMECARE CORP,ADUS,US,BBG000NJGX84,Common Stock,Equity,BBG001T56D18,Common Stock,ADUS,,
167,BBG000CPGDL1,ADDVALUE TECHNOLOGIES LTD,ADDV,SP,BBG000CPGDD0,Common Stock,Equity,BBG001SFBR01,Common Stock,ADDV,,
168,BBG000BNWPD1,ADECCO GROUP AG-REG,ADI1,GR,BBG000BNWPD1,Common Stock,Equity,BBG001S976F0,Common Stock,ADI1,,
169,BBG000BJMFK5,ADEKA CORP,4401,JP,BBG000BJMFK5,Common Stock,Equity,BBG001S6CC67,Common Stock,4401,,
170,,,,,,,,,,,,
171,BBG00G9JXF30,ADEPTUS HEALTH INC-CLASS A,ADPTEUR,XS,BBG00G9JXDM4,Common Stock,Equity,BBG006JS1NS2,Common Stock,ADPTEUR,,
172,,,,,,,,,,,,
173,BBG000FYWPC4,ADEX MINING INC,ADXDF,US,BBG000FYWPC4,Common Stock,Equity,BBG001SC90W5,Common Stock,ADXDF,,
174,BBG000CN3V76,ADF FOODS LTD,ADFL,IN,BBG000CN3V76,Common Stock,Equity,BBG001S82R43,Common Stock,ADFL,,
175,BBG000BZR517,ADF GROUP INC,DRX,CN,BBG000BZR517,Common Stock,Equity,BBG001SD1L64,Common Stock,DRX,,
176,BBG000BLSQ48,ADHERA THERAPEUTICS INC,ATRX,US,BBG000BLSQ48,Common Stock,Equity,BBG001S7JBH8,Common Stock,ATRX,,
177,BBG009NZ21D8,ADHERIUM LTD,ADR,AU,BBG009NZ21D8,Common Stock,Equity,BBG009NZ21M8,Common Stock,ADR,,
178,,,,,,,,,,,,
179,BBG00HNGDTR4,ADIAL PHARMACEUTICALS INC,ADIL,US,BBG00HNGDTR4,Common Stock,Equity,BBG00HNGDTS3,Common Stock,ADIL,,
180,BBG000F96DR9,ADIDAS AG,ADS,TE,BBG000F96D62,Common Stock,Equity,BBG001S8J8Q3,Common Stock,ADS,,
181,BBG000PX9P13,ADIDAS AG-SPONSORED ADR,ADDYY,US,BBG000PX9P13,ADR,Equity,BBG001SNFNL6,Depositary Receipt,ADDYY,,
182,BBG009PN0C87,ADIENT PLC,ADNT,US,BBG009PN0C87,Common Stock,Equity,BBG009PN0C96,Common Stock,ADNT,,
183,BBG000BTQDZ8,ADIRONDACK TRUST CO SARATOGA,ADKT,US,BBG000BTQDZ8,Common Stock,Equity,BBG001SGBXP9,Common Stock,ADKT,,
184,BBG00BKN6FR3,ADITYA BIRLA CAPITAL LTD,ABCAP,IN,BBG00BKN6FR3,Common Stock,Equity,BBG00BKN6FS2,Common Stock,ABCAP,,
185,BBG000J8XNV0,ADITYA BIRLA MONEY LTD,ABML,IN,BBG000J8XNV0,Common Stock,Equity,BBG001SPF0M0,Common Stock,ABML,,
