new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
200,ADVANSIX INC,ASIX,US00773T1016,ADVANSIX INC,ASIX,Mexico
201,ADVANTAGE LITHIUM CORP,AVLIF,CA00782P1080,ADVANTAGE LITHIUM CORP,AVLIF,Germany
202,ADVANTAGE RISK MANAGEMENT CO,8769,JP3122410008,ADVANTAGE RISK MANAGEMENT CO,8769,Japan
203,ADVANTAGEWON OIL CORP,AOC,CA00775L2057,ADVANTAGEWON OIL CORP,AOC,Canada
204,ADVANTEGO CORP,NOINFO,US00775N1028,ADVANTEGO CORP,ADGO,United States of America
205,ADVANTEST CORP,6857,JP3122400009,ADVANTEST CORP,6857,Japan
206,ADVANTIS CORP,ADVT,US0076141003,ADVANTIS CORP,ADVT,United States of America
207,ADVAXIS INC,PRIMQX,US0076244062,ADVAXIS INC,ADXS,United States of America
208,ADVENTURE INC,6030,JP3122380003,ADVENTURE INC,6030,Japan
209,ADVENTUS MINING CORP,ADZN,CA00791E1025,ADVENTUS MINING CORP,ADZN,Canada
210,ADVEO GROUP INTERNATIONAL SA,ADV2,ES0182045312,ADVEO GROUP INTERNATIONAL SA,ADV2,
211,ADVERUM BIOTECHNOLOGIES INC,NMS,US00773U1088,ADVERUM BIOTECHNOLOGIES INC,ADVM,United States of America
212,ADVISORSHARES DORSEY WRIGHT,NMS,US00768Y2063,ADVISORSHARES DORSEY WRIGHT,AADR,
213,ADVSRSHRS NEW TECH AND MEDIA,FNG,US00768Y5520,ADVSRSHRS NEW TECH AND MEDIA,FNG,
214,ADVTECH LTD,ADH,ZAE000031035,ADVTECH LTD,ADH,South Africa
215,ADWAYS INC,2489,JP3121970002,ADWAYS INC,2489,Japan
216,ADX ENERGY LTD,XETRA,AU000000ADX9,ADX ENERGY LTD,GHU,Germany
217,ADYNXX INC,NOINFO,US00784D1037,ADYNXX INC,ADYX,United States of America
218,AECC AERO-ENGINE CONTROL-A,000738,CNE000000RM5,AECC AERO-ENGINE CONTROL-A,000738,China
219,AECOM,ACM,US00766T1007,AECOM,ACM,United States of America
220,AED OIL LTD,AED,AU000000AED9,AED OIL LTD,AED,
221,AEGION CORP,AEGN,US00770F1049,AEGION CORP,AEGN,United States of America
222,AEGIS LOGISTICS LTD,AEGISCHEM,INE208C01025,AEGIS LOGISTICS LTD,AEGISCHEM,India
223,AEGLEA BIOTHERAPEUTICS INC,NMS,US00773J1034,AEGLEA BIOTHERAPEUTICS INC,AGLE,United States of America
224,AEM HOLDINGS LTD,AWX,SG1BA1000003,AEM HOLDINGS LTD,AWX,Singapore
225,AEMETIS INC,NMS,US00770K2024,AEMETIS INC,AMTX,United States of America
226,AEOLUS PHARMACEUTICALS INC,NOINFO,US00765G1094,AEOLUS PHARMACEUTICALS INC,AOLS,United States of America
227,AEOLUS TYRE CO LTD-A,600469,CNE000001G46,AEOLUS TYRE CO LTD-A,600469,China
228,AEON FINANCIAL SERVICE CO LT,8570,JP3131400008,AEON FINANCIAL SERVICE CO LT,8570,Japan
229,AEON GLOBAL HEALTH CORP,AGHC,US00774U1079,AEON GLOBAL HEALTH CORP,AGHC,United States of America
230,AEON MALL CO LTD,8905,JP3131430005,AEON MALL CO LTD,8905,Japan
231,AEON METALS LTD,AML,AU000000AML5,AEON METALS LTD,AML,Australia
232,AEQUUS PHARMACEUTICALS INC,AQSZF,CA0076361033,AEQUUS PHARMACEUTICALS INC,AQSZF,United States of America
